SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-27-2018,Condo/Co-op,217 Divisadero St,San Francisco,CA,94117,1695000,2,2.0,Haight Ashbury,1155,,1900,232,1468,,Sold,,,http://www.redfin.com/CA/San-Francisco/217-Divisadero-St-94117/home/1659886,San Francisco MLS,476030,N,Y,37.770604,-122.437226
PAST SALE,July-6-2018,Condo/Co-op,1701 Grove St #4,San Francisco,CA,94117,940000,2,1.0,North Panhandle,,,1913,315,,383,Sold,,,http://www.redfin.com/CA/San-Francisco/1701-Grove-94117/unit-4/home/148058897,San Francisco MLS,471743,N,Y,37.774913,-122.444766
PAST SALE,September-28-2018,Condo/Co-op,350 Broderick St #326,San Francisco,CA,94117,1300000,2,2.0,North Panhandle,949,,2007,231,1370,426,Sold,,,http://www.redfin.com/CA/San-Francisco/350-Broderick-St-94117/unit-326/home/12402421,San Francisco MLS,476903,N,Y,37.7734397,-122.4387558
PAST SALE,November-6-2018,Condo/Co-op,650 Clayton St,San Francisco,CA,94117,1375000,2,2.0,Haight Ashbury,1660,,1904,192,828,325,Sold,,,http://www.redfin.com/CA/San-Francisco/650-Clayton-St-94117/home/1618587,San Francisco MLS,476416,N,Y,37.769216,-122.448183
PAST SALE,,Condo/Co-op,51 Alpine Ter,San Francisco,CA,94117,900000,2,1.0,,,,1904,,,,,,,http://www.redfin.com/CA/San-Francisco/51-Alpine-Ter-94117/home/144063691,,,N,Y,37.7696549,-122.4374455
PAST SALE,May-30-2018,Condo/Co-op,339 Carl St,San Francisco,CA,94117,1625000,2,1.0,Parnassus/Ashbury Heights,,,,352,,267,Sold,,,http://www.redfin.com/CA/San-Francisco/339-Carl-St-94117/home/40138426,San Francisco MLS,470792,N,Y,37.7650457,-122.455105
PAST SALE,April-13-2018,Condo/Co-op,267-271 Hermann St #267,San Francisco,CA,94117,875000,2,1.0,Hayes Valley,,,1900,399,,350,Sold,,,http://www.redfin.com/CA/San-Francisco/267-Hermann-St-94117/unit-267/home/144958910,San Francisco MLS,467798,N,Y,37.770106,-122.429491
PAST SALE,October-6-2017,Condo/Co-op,52 Alpine Ter #2,San Francisco,CA,94117,1720000,2,2.0,Buena Vista Park,,,2014,588,,259,Sold,,,http://www.redfin.com/CA/San-Francisco/52-Alpine-Ter-94117/unit-2/home/56796650,San Francisco MLS,461982,N,Y,37.7696257,-122.4379602
PAST SALE,April-6-2018,Condo/Co-op,988 Fulton St #314,San Francisco,CA,94117,1150000,2,2.0,Western Addition,932,,1999,406,1234,477,Sold,,,http://www.redfin.com/CA/San-Francisco/988-Fulton-St-94117/unit-314/home/22854523,San Francisco MLS,467655,N,Y,37.778036,-122.4325115
PAST SALE,November-16-2018,Condo/Co-op,142 Beulah St,San Francisco,CA,94117,932419,2,1.0,Parnassus/Ashbury Heights,977,,1909,182,954,262,Sold,,,http://www.redfin.com/CA/San-Francisco/142-Beulah-St-94117/home/28890211,San Francisco MLS,477121,N,Y,37.7676128,-122.4523129
PAST SALE,August-7-2017,Condo/Co-op,417 Ashbury St,San Francisco,CA,94117,1475000,2,1.0,Haight Ashbury,1352,,1947,648,1091,,Sold,,,http://www.redfin.com/CA/San-Francisco/417-Ashbury-St-94117/home/1458823,San Francisco MLS,459251,N,Y,37.771558,-122.447424
PAST SALE,August-31-2018,Condo/Co-op,262 Downey St,San Francisco,CA,94117,1200000,2,2.0,Buena Vista Park,,,1928,259,,139,Sold,,,http://www.redfin.com/CA/San-Francisco/262-Downey-St-94117/home/143842638,San Francisco MLS,473416,N,Y,37.7642483,-122.4465049
PAST SALE,April-19-2019,Condo/Co-op,568 Belvedere St,San Francisco,CA,94117,1601250,2,1.5,San Francisco,1519,,1924,28,1054,250,Sold,,,http://www.redfin.com/CA/San-Francisco/568-Belvedere-St-94117/home/854080,Bridge MLS,40859982,N,Y,37.762381,-122.447591
PAST SALE,July-17-2018,Condo/Co-op,1982 Hayes St,San Francisco,CA,94117,1260000,2,1.0,North Panhandle,1160,,1908,304,1086,270,Sold,,,http://www.redfin.com/CA/San-Francisco/1982-Hayes-St-94117/home/69371360,San Francisco MLS,472087,N,Y,37.7737557,-122.4490273
PAST SALE,April-26-2019,Condo/Co-op,1851 Hayes St,San Francisco,CA,94117,1450000,2,1.0,North Panhandle,1236,,,21,1173,167,Sold,,,http://www.redfin.com/CA/San-Francisco/1851-Hayes-St-94117/home/1915596,San Francisco MLS,482949,N,Y,37.773611,-122.446951
