SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-19-2018,Condo/Co-op,1350 California St #104,San Francisco,CA,94109,1130000,2,2.0,Nob Hill,1139,,1983,302,992,776,Sold,,,http://www.redfin.com/CA/San-Francisco/1350-California-St-94109/unit-104/home/1690674,San Francisco MLS,472344,N,Y,37.7913859,-122.4166957
PAST SALE,March-18-2019,Condo/Co-op,1587 15th St #505,San Francisco,CA,94103,965000,2,1.0,Inner Mission,911,,2007,60,1059,564,Sold,,,http://www.redfin.com/CA/San-Francisco/1587-15th-St-94103/unit-505/home/12277633,San Francisco MLS,481047,N,Y,37.7664886,-122.41949
PAST SALE,May-2-2019,Condo/Co-op,616 Moraga St #6,San Francisco,CA,94122,1270000,2,2.0,Inner Sunset,1436,,1958,15,884,488,Sold,,,http://www.redfin.com/CA/San-Francisco/616-Moraga-St-94122/unit-6/home/52348928,San Francisco MLS,482379,N,Y,37.7566516,-122.4694351
PAST SALE,July-21-2017,Condo/Co-op,619 Shotwell St #5,SAN FRANCISCO,CA,94110,795000,2,1.0,SAN FRANCISCO,637,3675,1963,665,1248,230,Sold,,,http://www.redfin.com/CA/San-Francisco/619-Shotwell-St-94110/unit-5/home/12415484,MLSListings,ML81651789,N,Y,37.7584658,-122.4155127
PAST SALE,December-10-2017,Condo/Co-op,738 Long Bridge St #1408,SAN FRANCISCO,CA,94107,1680000,2,2.0,SAN FRANCISCO,1285,,2016,523,1307,938,Sold,,,http://www.redfin.com/CA/San-Francisco/738-Long-Bridge-St-94158/unit-1408/home/109464569,MLSListings,ML81682474,N,Y,37.7717748,-122.3940731
PAST SALE,May-10-2019,Condo/Co-op,201 Folsom St Unit 31C,San Francisco,CA,94105,2360000,2,2.0,South Beach,1495,,2016,7,1579,1160,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-31C/home/112894393,San Francisco MLS,481102,N,Y,37.7886997,-122.39226
PAST SALE,June-5-2018,Condo/Co-op,310 Carolina St #203,San Francisco,CA,94107,1310000,2,2.0,Potrero Hill,916,,2015,346,1430,478,Sold,,,http://www.redfin.com/CA/San-Francisco/310-Carolina-St-94107/unit-203/home/101652380,San Francisco MLS,469460,N,Y,37.7646104,-122.4009193
PAST SALE,February-1-2018,Condo/Co-op,175 Bluxome St #111,San Francisco,CA,94107,920000,2,2.0,South of Market,1066,,1998,470,863,500,Sold,,,http://www.redfin.com/CA/San-Francisco/175-Bluxome-St-94107/unit-111/home/12397891,San Francisco MLS,465446,N,Y,37.7743789,-122.3995747
PAST SALE,December-19-2017,Condo/Co-op,11 Kenneth Rexroth Pl,SAN FRANCISCO,CA,94133,1230000,2,2.0,SAN FRANCISCO,1124,1330,1911,514,1094,150,Sold,,,http://www.redfin.com/CA/San-Francisco/11-Kenneth-Rexroth-Pl-94133/home/28935690,MLSListings,ML81683667,N,Y,37.798275,-122.408026
PAST SALE,March-27-2019,Condo/Co-op,235 Berry St #501,San Francisco,CA,94158,1325000,2,2.0,Mission Bay,1070,,2007,51,1238,657,Sold,,,http://www.redfin.com/CA/San-Francisco/235-Berry-St-94158/unit-501/home/12276956,San Francisco MLS,482295,N,Y,37.7747025,-122.3941174
