SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-3-2017,Condo/Co-op,3418 26th St #8,SAN FRANCISCO,CA,94110,1005000,2,2.0,SAN FRANCISCO,795,3969,2014,560,1264,615,Sold,,,http://www.redfin.com/CA/San-Francisco/3418-26th-St-94110/unit-8/home/110052013,MLSListings,ML81679903,N,Y,37.7492018,-122.4189838
PAST SALE,May-3-2019,Condo/Co-op,5140 Diamond Heights Blvd Unit 205A,San Francisco,CA,94131,910000,2,2.0,Diamond Heights,1175,,1972,14,774,648,Sold,,,http://www.redfin.com/CA/San-Francisco/5140-Diamond-Heights-Blvd-94131/unit-205A/home/1912997,San Francisco MLS,482869,N,Y,37.7467454,-122.4404868
PAST SALE,July-6-2018,Condo/Co-op,1701 Grove St #4,San Francisco,CA,94117,940000,2,1.0,North Panhandle,,,1913,315,,383,Sold,,,http://www.redfin.com/CA/San-Francisco/1701-Grove-94117/unit-4/home/148058897,San Francisco MLS,471743,N,Y,37.774913,-122.444766
PAST SALE,December-27-2017,Condo/Co-op,156 Ripley St,SAN FRANCISCO,CA,94110,1550000,2,2.5,SAN FRANCISCO,1284,2250,2000,506,1207,,Sold,,,http://www.redfin.com/CA/San-Francisco/156-Ripley-St-94110/home/1399905,MLSListings,ML81685075,N,Y,37.7440753,-122.4115506
PAST SALE,March-26-2018,Condo/Co-op,1 Crescent Way #1216,SAN FRANCISCO,CA,94134,795000,2,2.0,SAN FRANCISCO,1063,42105,2001,417,748,510,Sold,,,http://www.redfin.com/CA/San-Francisco/1-Crescent-Way-94134/unit-1216/home/1107397,MLSListings,ML81693949,N,Y,37.7108396,-122.3901806
PAST SALE,October-29-2018,Condo/Co-op,480 Mission Bay Blvd #609,San Francisco,CA,94158,1700000,2,2.0,Mission Bay,1197,,2012,200,1420,784,Sold,,,http://www.redfin.com/CA/San-Francisco/480-Mission-Bay-Blvd-N-94158/unit-609/home/40625837,San Francisco MLS,478241,N,Y,37.7715936,-122.3885893
PAST SALE,September-27-2018,Condo/Co-op,217 Divisadero St,San Francisco,CA,94117,1695000,2,2.0,Haight Ashbury,1155,,1900,232,1468,,Sold,,,http://www.redfin.com/CA/San-Francisco/217-Divisadero-St-94117/home/1659886,San Francisco MLS,476030,N,Y,37.770604,-122.437226
PAST SALE,June-5-2018,Condo/Co-op,96 Lapidge St,San Francisco,CA,94110,1176500,2,1.0,Mission Dolores,1000,,1924,346,1177,240,Sold,,,http://www.redfin.com/CA/San-Francisco/96-Lapidge-St-94110/home/17465427,San Francisco MLS,469824,N,Y,37.7601535,-122.4224228
PAST SALE,September-28-2018,Condo/Co-op,350 Broderick St #326,San Francisco,CA,94117,1300000,2,2.0,North Panhandle,949,,2007,231,1370,426,Sold,,,http://www.redfin.com/CA/San-Francisco/350-Broderick-St-94117/unit-326/home/12402421,San Francisco MLS,476903,N,Y,37.7734397,-122.4387558
PAST SALE,February-1-2018,Condo/Co-op,175 Bluxome St #111,San Francisco,CA,94107,920000,2,2.0,South of Market,1066,,1998,470,863,500,Sold,,,http://www.redfin.com/CA/San-Francisco/175-Bluxome-St-94107/unit-111/home/12397891,San Francisco MLS,465446,N,Y,37.7743789,-122.3995747
PAST SALE,,Condo/Co-op,201 Harrison St #510,San Francisco,CA,94105,875000,2,2.0,,,,1991,,,,,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-510/home/1405830,,,N,Y,37.7875875,-122.3904715
PAST SALE,June-28-2018,Condo/Co-op,932 Kirkham St,San Francisco,CA,94122,1375000,2,1.0,Inner Sunset,1150,,1946,323,1196,300,Sold,,,http://www.redfin.com/CA/San-Francisco/932-Kirkham-St-94122/home/17305640,San Francisco MLS,472847,N,Y,37.760269,-122.4709829
PAST SALE,October-27-2017,Condo/Co-op,603 Natoma St #201,SAN FRANCISCO,CA,94103,870000,2,1.0,SAN FRANCISCO,778,11374,1992,567,1118,577,Sold,,,http://www.redfin.com/CA/San-Francisco/603-Natoma-St-94103/unit-201/home/143992210,MLSListings,ML81678918,N,Y,37.7781163,-122.4102412
PAST SALE,April-8-2019,Condo/Co-op,201 Harrison St #310,San Francisco,CA,94105,1005000,2,2.0,South Beach,797,,1991,39,1261,734,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-310/home/726549,San Francisco MLS,482264,N,Y,37.7875875,-122.3904715
PAST SALE,December-19-2017,Condo/Co-op,11 Kenneth Rexroth Pl,SAN FRANCISCO,CA,94133,1230000,2,2.0,SAN FRANCISCO,1124,1330,1911,514,1094,150,Sold,,,http://www.redfin.com/CA/San-Francisco/11-Kenneth-Rexroth-Pl-94133/home/28935690,MLSListings,ML81683667,N,Y,37.798275,-122.408026
PAST SALE,December-10-2017,Condo/Co-op,738 Long Bridge St #1408,SAN FRANCISCO,CA,94107,1680000,2,2.0,SAN FRANCISCO,1285,,2016,523,1307,938,Sold,,,http://www.redfin.com/CA/San-Francisco/738-Long-Bridge-St-94158/unit-1408/home/109464569,MLSListings,ML81682474,N,Y,37.7717748,-122.3940731
PAST SALE,June-27-2018,Condo/Co-op,2501 Harrison St #1,San Francisco,CA,94110,1550000,2,2.5,Inner Mission,1476,,2001,324,1050,409,Sold,,,http://www.redfin.com/CA/San-Francisco/2501-Harrison-St-94110/unit-1/home/1424598,San Francisco MLS,471580,N,Y,37.7571847,-122.4120621
